video_id,title,channel,source_url,duration_seconds,upload_date,transcript_method,transcript_path,raw_path,transcript_sha256,relevance_categories,rights_note
V0eP5yza5gI,Neil Turner on Organisational Learning,Cranfield School of Management,https://www.youtube.com/watch?v=V0eP5yza5gI,242,20100120,groq-whisper-asr,transcripts/youtube/2010-01-20--neil-turner-on-organisational-learning--cranfield-school-of-management--V0eP5yza5gI.md,raw/youtube/2010-01-20--neil-turner-on-organisational-learning--cranfield-school-of-management--V0eP5yza5gI,43f5d3ab0c13be5229347d766ecd59c7824cc168f774df255bd0c1d2a4934877,organizational-learning|organizational-memory,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
1Mk14yQZ1pE,"Brett Lee Interview: The Viable Systems Model & ""Tell us about the London School of Economics?""",BrettLeeVideos VoteDavis,https://www.youtube.com/watch?v=1Mk14yQZ1pE,143,20120502,groq-whisper-asr,transcripts/youtube/2012-05-02--brett-lee-interview-the-viable-systems-model-and-tell-us-about-the-london-school-of-economics--brettleevideos-votedavis--1Mk14yQZ1pE.md,raw/youtube/2012-05-02--brett-lee-interview-the-viable-systems-model-and-tell-us-about-the-london-school-of-economics--brettleevideos-votedavis--1Mk14yQZ1pE,2b1fc4ba3b55ff933da688a7d4ce4c090c53922d750d596452995c8aaaf8e3f2,feedback-systems,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
izkXtw1tDeg,What is a learning organization?,Knowledge Institute for CYMHA,https://www.youtube.com/watch?v=izkXtw1tDeg,297,20140305,groq-whisper-asr,transcripts/youtube/2014-03-05--what-is-a-learning-organization--knowledge-institute-for-cymha--izkXtw1tDeg.md,raw/youtube/2014-03-05--what-is-a-learning-organization--knowledge-institute-for-cymha--izkXtw1tDeg,e80e117c198febdd1822d134adfe6cf48289ae7a1c090f8e0fc46d46a02359dd,organizational-learning,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
eXdzKBWDraM,Peter Senge Introduction to Systems Thinking,Kris Wile,https://www.youtube.com/watch?v=eXdzKBWDraM,141,20140805,groq-whisper-asr,transcripts/youtube/2014-08-05--peter-senge-introduction-to-systems-thinking--kris-wile--eXdzKBWDraM.md,raw/youtube/2014-08-05--peter-senge-introduction-to-systems-thinking--kris-wile--eXdzKBWDraM,e18b9302696dcc42a15ec3a87f1fc8984a35ff3deefa86371f3a4fdb32a17a11,feedback-systems,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
OpiqnCAQ6S8,Peter Senge Introduction to Organzational Learning,Kris Wile,https://www.youtube.com/watch?v=OpiqnCAQ6S8,193,20140806,groq-whisper-asr,transcripts/youtube/2014-08-06--peter-senge-introduction-to-organzational-learning--kris-wile--OpiqnCAQ6S8.md,raw/youtube/2014-08-06--peter-senge-introduction-to-organzational-learning--kris-wile--OpiqnCAQ6S8,1e798a5508b7ba341ae451e23000afeb298aa0a4871cf13282e6b490cc8458a2,feedback-systems,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
inVZoI1AkC8,Feedback loops: How nature gets its rhythms - Anje-Margriet Neutel,TED-Ed,https://www.youtube.com/watch?v=inVZoI1AkC8,310,20140825,groq-whisper-asr,transcripts/youtube/2014-08-25--feedback-loops-how-nature-gets-its-rhythms-anje-margriet-neutel--ted-ed--inVZoI1AkC8.md,raw/youtube/2014-08-25--feedback-loops-how-nature-gets-its-rhythms-anje-margriet-neutel--ted-ed--inVZoI1AkC8,1a0e8aa511ba01ff50521eca7da621ebacec6c8152bc2dde5eb56eaf4e40df87,feedback-systems,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
GPW0j2Bo_eY,Systems Thinking!,james swanson,https://www.youtube.com/watch?v=GPW0j2Bo_eY,311,20141030,groq-whisper-asr,transcripts/youtube/2014-10-30--systems-thinking--james-swanson--GPW0j2Bo_eY.md,raw/youtube/2014-10-30--systems-thinking--james-swanson--GPW0j2Bo_eY,b6e4b5cf6e1747a9abbb64b8000636744d4d885302a4769caac23452cbe33a95,feedback-systems,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
MQMRMAmT2gg,The Fifth Discipline in Three Minutes,Miles MacFarlane,https://www.youtube.com/watch?v=MQMRMAmT2gg,169,20161027,groq-whisper-asr,transcripts/youtube/2016-10-27--the-fifth-discipline-in-three-minutes--miles-macfarlane--MQMRMAmT2gg.md,raw/youtube/2016-10-27--the-fifth-discipline-in-three-minutes--miles-macfarlane--MQMRMAmT2gg,3dfc67408b67387b1e3f4a9db86b1d6d8868a05ec9be80d29aa3e8e35c2205d3,organizational-learning|feedback-systems,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
40meQNZl3KU,The Learning Organization,Sprouts,https://www.youtube.com/watch?v=40meQNZl3KU,242,20170323,groq-whisper-asr,transcripts/youtube/2017-03-23--the-learning-organization--sprouts--40meQNZl3KU.md,raw/youtube/2017-03-23--the-learning-organization--sprouts--40meQNZl3KU,18a8dc4013ae02927c72189fc359278fdc08976c9598d1ce4a869027b1fd6f4e,organizational-learning|feedback-systems,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
C0SktfXClfA,Kaizen-Sustaining Gains,Velaction Continuous Improvement,https://www.youtube.com/watch?v=C0SktfXClfA,185,20180212,groq-whisper-asr,transcripts/youtube/2018-02-12--kaizen-sustaining-gains--velaction-continuous-improvement--C0SktfXClfA.md,raw/youtube/2018-02-12--kaizen-sustaining-gains--velaction-continuous-improvement--C0SktfXClfA,c5194a495ff2d450e594847c575464fd1cebecd52f445f1c8bc26463d5f58315,continuous-improvement,"YouTube source content remains owned by its rightsholder. Transcript is retained for research, indexing, quotation, and verification; no ownership is claimed."
