legacy_path,legacy_sha256,openalex_id,doi,canonical_url,title,source_type,disposition,lifecycle,artifact_level,relevance_status,duplicate_of,output_path,reason
sources/arxiv/2013--leveraging-customer-knowledge-in-electronic-knowledge-repositories-for-service-expertise--sujeong-choi--w121121963.md,66904d9a9a3127971698768e1cac390877cdbca0a9fa732a205b1dd1bf91cc4c,W121121963,,http://www.pacis-net.org/file/2013/PACIS2013-027.pdf,Leveraging Customer Knowledge in Electronic Knowledge Repositories for Service Expertise,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2013-01-01--leveraging-customer-knowledge-in-electronic-knowledge-repositories-for-service-expertise--w121121963.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2014--knowledge-absorptive-capacity-and-process-innovation-the-moderating-effect-of-environmental-dynamism--t-ramayah--w1490729419.md,20d0444da17997ccfefd2000dfaa7fd119b491f7cb6e11e07d142b3844a12736,W1490729419,,http://penerbit.uthm.edu.my/ojs/index.php/jtmb/article/view/913,KNOWLEDGE ABSORPTIVE CAPACITY AND PROCESS INNOVATION: THE MODERATING EFFECT OF ENVIRONMENTAL DYNAMISM,repository-preprint,accepted,accepted,abstract,relevant,,sources/academic/repository-preprint/accepted/2014-07-20--knowledge-absorptive-capacity-and-process-innovation-the-moderating-effect-of-environmental-dynamism--w1490729419.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2010--evaluating-the-military-s-technology-absorptive-capacity--madeleine-jacobs--w1525574620.md,5a323dd2183db0a3b30b5cc54d4d68c6cff793afd2ceb69031832fc1d9884302,W1525574620,,https://ieeexplore.ieee.org/iel5/5594059/5602021/05603372.pdf,Evaluating the military's technology absorptive capacity,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2010-07-18--evaluating-the-military-s-technology-absorptive-capacity--w1525574620.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2009--smes-absorptive-capacities-and-large-firms-knowledge-spillovers-micro-evidence-from-mexico--claudia-de-fuentes--w1543498508.md,092a51e765f3428fdbc6aad6973f099f9eae523192b601702e0d58e39cb9e6e4,W1543498508,,http://library2.smu.ca/xmlui/handle/01/25002,SMEs´ absorptive capacities and large firms´ knowledge spillovers: Micro evidence from Mexico,conference-paper,accepted,accepted,abstract,relevant,,sources/academic/conference-paper/accepted/2009-10-07--smes-absorptive-capacities-and-large-firms-knowledge-spillovers-micro-evidence-from-mexico--w1543498508.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2015--the-absorptive-capacity-of-family-firms--jim-anders-n--w1556856773.md,df507c1bbf14bbabca5393bbf4d2dbee07caf563270d00d0caa6b18f89537ce2,W1556856773,10.1108/jfbm-05-2014-0012,https://doi.org/10.1108/jfbm-05-2014-0012,The absorptive capacity of family firms,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2015-03-24--the-absorptive-capacity-of-family-firms--w1556856773.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2012--gains-and-losses-from-international-trade-in-a-knowledge-driven-semi-endogenous-growth-model-with-he--katsufumi-fukuda--w1658993051.md,1448b12b2f19333e52576ad07fdcb6f256a6dc6be981136e108aa33927570bfe,W1658993051,,https://openalex.org/W1658993051,Gains and Losses from International Trade in a Knowledge-driven Semi-endogenous Growth Model with Heterogeneous Firms,repository-preprint,duplicate,rejected,abstract,irrelevant,openalex:W2107592024,sources/academic/repository-preprint/rejected/2012-08-21--gains-and-losses-from-international-trade-in-a-knowledge-driven-semi-endogenous-growth-model-with-he--w1658993051.md,Duplicate of OpenAlex W2107592024.
sources/arxiv/2010--inter-and-intra-project-knowledge-transfer-analysis-of-knowledge-transfer-techniques--anna-wiewiora--w169680222.md,d0eb7a4ad3a45d500d6b9d7218001f82f56a2bcaa7cdac52267f1f040e33601a,W169680222,,http://congresses.pmi.org/ResearchConf2010/,Inter- and intra-project knowledge transfer - analysis of knowledge transfer techniques,book-chapter,accepted,accepted,abstract,relevant,,sources/academic/book-chapter/accepted/2010-01-01--inter-and-intra-project-knowledge-transfer-analysis-of-knowledge-transfer-techniques--w169680222.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2015--opening-the-box-of-knowledge-in-absorptive-capacity-development-in-the-context-of-service-innovation--nuran-acur-bakir--w1718011808.md,411edac6d74b63f1f4d97433c0a8fa6fd142454f6319c9d9e99e96667c36e0a3,W1718011808,,https://openalex.org/W1718011808,Opening the box of knowledge in absorptive capacity development in the context of service innovation,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2015-06-12--opening-the-box-of-knowledge-in-absorptive-capacity-development-in-the-context-of-service-innovation--w1718011808.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2011--enriching-absorptive-capacity-through-social-interaction--jasper-j-hotho--w1751124435.md,b5d85c9838c39d1f485e4bdf69574b1c8012366cfbbc26b34a0094d6b9bd2ade,W1751124435,10.1111/j.1467-8551.2011.00749.x,https://doi.org/10.1111/j.1467-8551.2011.00749.x,Enriching Absorptive Capacity through Social Interaction,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2011-06-22--enriching-absorptive-capacity-through-social-interaction--w1751124435.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2015--examining-absorptive-capacity-in-supply-chains-linking-responsive-strategy-and-firm-performance--david-d-dobrzykowski--w1832704641.md,0f752ad5f27ed59e08f9bd2974c08fcbe7ee9e2c098062cbddd09375209f21f7,W1832704641,10.1111/jscm.12085,https://doi.org/10.1111/jscm.12085,Examining Absorptive Capacity in Supply Chains: Linking Responsive Strategy and Firm Performance,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2015-07-25--examining-absorptive-capacity-in-supply-chains-linking-responsive-strategy-and-firm-performance--w1832704641.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2015--designing-absorptive-capacity-an-analysis-of-knowledge-absorption-practices-in-german-high-tech-firm--stephanie-duchek--w1837698247.md,72652ecbc4fc717bd1dbfcfcda36c8ac35f8c3a353ff89ce66a53a5bb76e80b2,W1837698247,10.1142/s1363919615500449,https://doi.org/10.1142/s1363919615500449,DESIGNING ABSORPTIVE CAPACITY? AN ANALYSIS OF KNOWLEDGE ABSORPTION PRACTICES IN GERMAN HIGH-TECH FIRMS,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2015-07-02--designing-absorptive-capacity-an-analysis-of-knowledge-absorption-practices-in-german-high-tech-firm--w1837698247.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
