loop,topic,facet,query,started_at,completed_at,provider,http_status,outcome,evidence_count,artifact
1,organizational learning,implementation,"""organizational learning"" implementation",2026-07-11T14:08:48.307225+00:00,2026-07-11T14:08:49.093102+00:00,Crossref REST API,200,productive,3,artifacts/001--organizational-learning--implementation.json
2,organizational learning,case study,"""organizational learning"" case study",2026-07-11T14:08:48.307604+00:00,2026-07-11T14:08:49.144692+00:00,Crossref REST API,200,productive,3,artifacts/002--organizational-learning--case-study.json
3,organizational learning,empirical evidence,"""organizational learning"" empirical evidence",2026-07-11T14:08:48.307827+00:00,2026-07-11T14:08:49.101967+00:00,Crossref REST API,200,productive,3,artifacts/003--organizational-learning--empirical-evidence.json
4,organizational learning,governance,"""organizational learning"" governance",2026-07-11T14:08:48.308118+00:00,2026-07-11T14:08:49.103417+00:00,Crossref REST API,200,productive,3,artifacts/004--organizational-learning--governance.json
5,organizational learning,failure,"""organizational learning"" failure",2026-07-11T14:08:48.308419+00:00,2026-07-11T14:08:49.043196+00:00,Crossref REST API,200,productive,3,artifacts/005--organizational-learning--failure.json
6,organizational learning,measurement,"""organizational learning"" measurement",2026-07-11T14:08:48.308793+00:00,2026-07-11T14:08:49.074255+00:00,Crossref REST API,200,productive,3,artifacts/006--organizational-learning--measurement.json
7,organizational learning,feedback loop,"""organizational learning"" feedback loop",2026-07-11T14:08:48.309116+00:00,2026-07-11T14:08:49.110645+00:00,Crossref REST API,200,productive,3,artifacts/007--organizational-learning--feedback-loop.json
8,organizational learning,human oversight,"""organizational learning"" human oversight",2026-07-11T14:08:48.309354+00:00,2026-07-11T14:08:49.116628+00:00,Crossref REST API,200,productive,3,artifacts/008--organizational-learning--human-oversight.json
9,organizational learning,production deployment,"""organizational learning"" production deployment",2026-07-11T14:08:49.043309+00:00,2026-07-11T14:08:49.560927+00:00,Crossref REST API,200,productive,3,artifacts/009--organizational-learning--production-deployment.json
10,organizational learning,evaluation,"""organizational learning"" evaluation",2026-07-11T14:08:49.074391+00:00,2026-07-11T14:08:49.681156+00:00,Crossref REST API,200,productive,3,artifacts/010--organizational-learning--evaluation.json
11,learning organization,implementation,"""learning organization"" implementation",2026-07-11T14:08:49.093213+00:00,2026-07-11T14:08:49.775457+00:00,Crossref REST API,200,productive,3,artifacts/011--learning-organization--implementation.json
12,learning organization,case study,"""learning organization"" case study",2026-07-11T14:08:49.102108+00:00,2026-07-11T14:08:49.877017+00:00,Crossref REST API,200,productive,3,artifacts/012--learning-organization--case-study.json
13,learning organization,empirical evidence,"""learning organization"" empirical evidence",2026-07-11T14:08:49.103538+00:00,2026-07-11T14:08:49.804482+00:00,Crossref REST API,200,productive,3,artifacts/013--learning-organization--empirical-evidence.json
14,learning organization,governance,"""learning organization"" governance",2026-07-11T14:08:49.110737+00:00,2026-07-11T14:08:49.784115+00:00,Crossref REST API,200,productive,3,artifacts/014--learning-organization--governance.json
15,learning organization,failure,"""learning organization"" failure",2026-07-11T14:08:49.116719+00:00,2026-07-11T14:08:49.812399+00:00,Crossref REST API,200,productive,3,artifacts/015--learning-organization--failure.json
16,learning organization,measurement,"""learning organization"" measurement",2026-07-11T14:08:49.144823+00:00,2026-07-11T14:08:49.789266+00:00,Crossref REST API,200,productive,3,artifacts/016--learning-organization--measurement.json
17,learning organization,feedback loop,"""learning organization"" feedback loop",2026-07-11T14:08:49.561075+00:00,2026-07-11T14:08:50.104016+00:00,Crossref REST API,200,productive,3,artifacts/017--learning-organization--feedback-loop.json
18,learning organization,human oversight,"""learning organization"" human oversight",2026-07-11T14:08:49.681280+00:00,2026-07-11T14:08:50.217736+00:00,Crossref REST API,200,productive,3,artifacts/018--learning-organization--human-oversight.json
19,learning organization,production deployment,"""learning organization"" production deployment",2026-07-11T14:08:49.775634+00:00,2026-07-11T14:08:50.433805+00:00,Crossref REST API,200,productive,3,artifacts/019--learning-organization--production-deployment.json
20,learning organization,evaluation,"""learning organization"" evaluation",2026-07-11T14:08:49.784209+00:00,2026-07-11T14:08:50.456448+00:00,Crossref REST API,200,productive,3,artifacts/020--learning-organization--evaluation.json
21,continuous improvement,implementation,"""continuous improvement"" implementation",2026-07-11T14:08:49.789350+00:00,2026-07-11T14:08:50.464660+00:00,Crossref REST API,200,productive,3,artifacts/021--continuous-improvement--implementation.json
22,continuous improvement,case study,"""continuous improvement"" case study",2026-07-11T14:08:49.804615+00:00,2026-07-11T14:08:50.513698+00:00,Crossref REST API,200,productive,3,artifacts/022--continuous-improvement--case-study.json
23,continuous improvement,empirical evidence,"""continuous improvement"" empirical evidence",2026-07-11T14:08:49.812553+00:00,2026-07-11T14:08:50.454987+00:00,Crossref REST API,200,productive,3,artifacts/023--continuous-improvement--empirical-evidence.json
24,continuous improvement,governance,"""continuous improvement"" governance",2026-07-11T14:08:49.877135+00:00,2026-07-11T14:08:51.403494+00:00,Crossref REST API,200,productive,3,artifacts/024--continuous-improvement--governance.json
25,continuous improvement,failure,"""continuous improvement"" failure",2026-07-11T14:08:50.104152+00:00,2026-07-11T14:08:50.606514+00:00,Crossref REST API,200,productive,3,artifacts/025--continuous-improvement--failure.json
26,continuous improvement,measurement,"""continuous improvement"" measurement",2026-07-11T14:08:50.217851+00:00,2026-07-11T14:08:50.772945+00:00,Crossref REST API,200,productive,3,artifacts/026--continuous-improvement--measurement.json
27,continuous improvement,feedback loop,"""continuous improvement"" feedback loop",2026-07-11T14:08:50.433925+00:00,2026-07-11T14:08:50.989673+00:00,Crossref REST API,200,productive,3,artifacts/027--continuous-improvement--feedback-loop.json
